year,ch4
-70258,457.3333333
-69941,432.1
-69660,432.0
-69403,430.9
-69148,448.6666667
-68915,481.5
-68683,475.4
-68494,469.8
-68221,472.6666667
-67982,489.8
-67636,450.3333333
-67410,462.1
-67026,460.0
-66734,473.7
-66329,456.0
-66086,450.7
-65782,479.6
-65482,470.5
-65126,452.6666667
-64867,459.3
-64538,449.3333333
-64305,460.7
-63976,444.0
-63665,475.6
-63308,456.6666667
-63034,461.1
-62703,461.9
-62400,439.7
-62067,434.0
-61817,488.8
-61482,484.0
-61253,467.5
-60868,444.0
-60605,443.7
-60251,430.0
-60007,438.7
-59696,430.8
-59100,431.6666667
-58898,436.61
-58862,412.0
-58597,425.3333333
-58390,430.1
-58098,426.3333333
-57914,442.7
-57640,425.0
-57416,434.9
-57103,441.8
-56930,454.2
-56660,523.0
-56441,502.1
-56207,554.0
-56042,561.1
-55771,519.6666667
-55585,514.8
-55306,541.6666667
-54893,553.9
-54840,542.9
-54642,550.1
-54366,546.0
-53856,483.0
-53845,534.2
-53642,466.0
-53338,460.6666667
-53135,514.37
-52880,475.6666667
-52452,461.6
-52150,437.04
-51922,438.0
-51738,438.15
-51481,513.0
-51248,535.1
-51039,530.0
-50864,529.3
-50582,542.6666667
-50398,566.5
-50169,526.6
-49933,530.9
-49670,517.0
-49476,544.03
-49193,515.0
-48970,510.15
-48672,493.0
-48490,489.02
-48241,469.6666667
-47940,491.65
-47765,451.8
-47538,433.5
-47307,464.0
-46988,461.23
-46727,435.0
-46223,414.0
-46002,452.8
-45718,436.6666667
-45521,424.5
-45270,441.4
-45237,432.1
-45038,440.27
-44794,493.0
-44598,499.35
-44389,514.0
-44263,497.47
-43927,499.3333333
-43748,487.05
-43464,466.6666667
-43284,489.81
-43038,461.6666667
-42724,468.67
-42452,427.3333333
-42212,430.6
-41912,411.3333333
-41639,415.43
-41486,437.4
-41395,463.0
-41168,481.5
-41086,486.3
-40934,470.0
-40889,471.4
-40728,446.4
-40546,455.9
-40346,415.111879
-40212,416.1
-40101,429.0461436
-39976,413.8794188
-39736,458.1
-39510,467.2
-39419,464.6666667
-39401,465.1
-39315,461.9
-39307,465.3
-39273,457.4
-39215,441.68
-39159,433.4
-39118,433.9
-39107,419.7
-39000,433.3
-38909,422.3833333
-38897,446.9
-38853,426.2
-38698,418.5
-38685,413.0
-38475,420.1
-38420,429.0
-38343,449.9
-38268,440.4028598
-38260,447.5
-38212,442.4
-38101,413.5
-38080,422.3
-38046,423.8
-37857,410.9
-37840,418.7
-37804,418.7
-37640,427.0
-37422,443.7
-37225,450.1
-37069,441.3
-36847,455.1
-36471,440.15
-36287,443.0
-36095,526.275
-35943,481.0
-35898,539.5
-35801,539.0
-35725,546.675
-35609,543.9
-35574,556.7
-35564,560.4
-35456,580.4
-35416,563.275
-35348,571.9
-35249,548.2
-35237,536.3
-35176,586.7
-35038,534.375
-34986,533.6
