year,co2,ch4,temp
-123515,,,-52.47
-123555,,,-52.51
-123595,,,-53.36
-123638,,,-53.23
-123681,,,-53.17
-123724,,,-53.0
-123767,,,-53.42
-123809,,,-52.88
-123853,,,-53.91
-123898,,,-54.29
-123944,,,-52.41
-123985,,,-53.11
-124027,,,-53.42
-124071,,,-53.39
-124113,,,-52.22
-124155,,,-53.71
-124198,,,-52.36
-124238,,,-53.66
-124283,,,-53.59
-124326,,,-52.44
-124367,,,-52.44
-124409,,,-54.07
-124453,,,-53.39
-124498,,,-54.17
-124544,,,-54.01
-124590,,,-53.17
-124633,,,-53.34
-124676,,,-52.73
-124717,,,-52.59
-124758,,,-53.0
-124799,,,-52.11
-124838,,,-51.9
-124876,,,-52.36
-124915,,,-52.21
-124953,,,-51.29
-124990,,,-51.97
-125027,,,-51.32
-125065,,,-52.36
-125102,,,-51.71
-125140,,,-51.3
-125176,,,-51.85
-125214,,,-52.6
-125253,,,-52.34
-125292,,,-52.25
-125331,,,-51.89
-125368,,,-51.64
-125407,,,-52.84
-125446,,,-52.61
-125487,,,-52.42
-125525,,,-51.52
-125562,,,-51.17
-125598,,,-52.06
-125635,,,-51.73
-125672,,,-51.55
-125709,,,-52.46
-125747,,,-51.55
-125784,,,-50.91
-125860,,,-51.69
-125895,,,-50.1
-125928,,,-51.14
-125962,,,-50.57
-125996,,,-50.18
-126029,,,-50.07
-126062,,,-51.14
-126096,,,-50.53
-126129,,,-51.3
-126162,,,-51.03
-126196,,,-51.24
-126231,,,-50.12
-126265,,,-51.94
-126299,,,-49.71
-126334,,,-50.5
-126367,,,-51.6
-126398,,,-50.42
-126430,,,-51.04
-126461,,,-49.71
-126492,,,-49.79
-126524,,,-50.44
-126555,,,-49.64
-126587,,,-50.66
-126617,,,-51.4
-126648,,,-50.84
-126680,,,-49.66
-126712,,,-49.04
-126743,,,-50.54
-126776,,,-51.16
-126808,,,-50.2
-126841,,,-49.91
-126872,,,-49.99
-126904,,,-51.34
-126939,,,-50.71
-127005,,,-52.15
-127040,,,-50.98
-127074,,,-50.84
-127107,,,-49.89
-127140,,,-51.12
-127174,,,-51.38
-127208,,,-50.41
-127241,,,-50.7
-127273,,,-50.73
-127305,,,-49.94
-127336,,,-51.85
-127372,,,-51.52
-127408,,,-51.62
-127443,,,-50.15
-127475,,,-51.06
-127508,,,-51.44
-127542,,,-50.73
-127575,,,-51.24
-127609,,,-51.18
-127643,,,-51.04
-127677,,,-51.13
-127711,,,-51.42
-127746,,,-52.57
-127784,,,-52.08
-127819,,,-50.8
-127854,,,-51.19
-127887,,,-51.58
-127922,,,-51.42
-127957,,,-51.15
-127991,,,-52.19
-128027,,,-51.78
-128063,,,-51.59
-128098,,,-51.11
-128133,,,-52.93
-128171,,,-52.38
-128208,,,-51.68
-128243,,,-52.31
-128281,,,-52.59
-128318,,,-51.89
-128355,,,-51.75
-128390,,,-52.83
-128430,,,-52.86
-128467,,,-51.25
-128505,,,-53.73
-128545,,,-53.36
-128586,,,-52.35
-128625,,,-52.95
-128664,,,-53.16
-128704,,,-53.61
-128746,,,-53.46
-128788,,,-53.5
-128829,,,-53.69
-128872,,,-53.6
-128915,,,-54.68
-128959,,,-54.08
-129004,,,-53.87
-129047,,,-54.04
-129091,,,-54.1
-129135,,,-53.73
-129178,,,-54.15
-129222,,,-54.82
-129268,,,-54.1
-129313,,,-54.01
-129358,,,-54.43
-129402,,,-53.75
-129446,,,-54.73
-129492,,,-54.62
-129538,,,-56.17
-129591,,,-55.67
-129642,,,-55.19
-129691,,,-55.63
-129741,,,-55.59
-129792,,,-56.09
-129844,,,-56.02
-129897,,,-56.26
-129951,,,-56.28
-130004,,,-55.88
-130058,,,-57.35
-130115,,,-57.1
-130173,,,-56.02
-130226,,,-56.16
-130279,,,-55.83
-130331,,,-56.6
-130386,,,-56.82
-130443,,,-56.78
-130499,,,-57.65
-130556,,,-56.63
-130613,,,-57.64
-130673,,,-57.77
-130737,,,-57.23
-130796,,,-57.96
-130858,,,-57.77
-130921,,,-58.24
-130985,,,-58.05
-131049,,,-58.85
-131117,,,-58.63
-131183,,,-57.53
-131244,,,-57.71
-131308,,,-59.21
-131377,,,-59.18
-131447,,,-58.07
-131511,,,-57.49
-131574,,,-58.2
-131638,,,-58.98
-131707,,,-59.3
-131779,,,-59.82
-131852,,,-58.16
-131919,,,-59.52
-131991,,,-59.34
-132063,,,-59.68
-132137,,,-60.2
-132213,,,-59.15
-132285,,,-60.11
-132362,,,-59.98
-132439,,,-59.97
-132516,,,-60.39
-132595,,,-60.29
-132673,,,-60.26
-132753,,,-60.81
-132835,,,-60.57
-132916,,,-60.79
-132999,,,-61.38
-133086,,,-62.84
-133174,,,-61.49
-133263,,,-62.16
-133356,,,-62.27
-133451,,,-62.23
-133546,,,-62.3
-133642,,,-61.65
-133741,,,-61.33
-133829,,,-62.51
-133925,,,-61.97
-134017,,,-61.04
-134105,,,-61.89
-134197,,,-62.89
-134297,,,-62.39
-134395,,,-62.98
-134497,,,-63.23
-134602,,,-63.27
-134706,,,-62.77
-134801,,,-63.01
-134903,,,-62.62
-135003,,,-62.96
-135105,,,-63.18
-135208,,,-61.94
-135303,,,-61.96
-135397,,,-62.78
-135497,,,-62.61
-135597,,,-62.27
-135696,,,-62.85
-135793,,,-63.09
-135897,,,-62.69
-135997,,,-62.27
-136096,,,-62.83
-136197,,,-62.56
-136297,,,-62.99
-136400,,,-63.03
-136503,,,-62.43
-136603,,,-63.35
-136709,,,-63.51
-136813,,,-63.28
-136920,,,-63.93
-137032,,,-63.57
-137142,,,-63.44
